accountsservice 26.13.3-1.1
alacritty 0.17.0-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.5
alsa-utils 1.2.16-1.1
amd-ucode 1:20260519-1
arandr 0.1.11-6
ark 26.04.2-1.1
arm-none-eabi-gdb 17.2-1.1
awesome-terminal-fonts 1.1.0-5
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bind 9.20.24-1.1
bluedevil 1:6.6.5-1.1
bluez 5.86-6.1
bluez-hid2hci 5.86-6.1
bluez-libs 5.86-6.1
bluez-obex 5.86-6.1
bluez-utils 5.86-6.1
brave-origin-nightly-bin 1.93.62-1
btop 1.4.7-1.1
btrfs-assistant 2.2-5.1
btrfs-progs 7.0-1
cachyos-fish-config 15-1
cachyos-hello 0.24.0-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.18.1-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 23-3
cachyos-settings 1:1.3.5-1
cachyos-snapper-support 1.0.2-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cantarell-fonts 1:0.311-1
cava 0.10.7-1.1
chwd 1.21.1-1
cmatrix-git 1.2.r119.g5c082c6-1
cosmic-app-library 1:1.0.16-1.1
cosmic-applets 1:1.0.16-1.1
cosmic-bg 1:1.0.16-1.1
cosmic-comp 1:1.0.16-1.1
cosmic-files 1:1.0.16-1.1
cosmic-greeter 1:1.0.16-1.1
cosmic-icon-theme 1:1.0.16-1
cosmic-launcher 1:1.0.16-1.1
cosmic-notifications 1:1.0.16-1.1
cosmic-osd 1:1.0.16-1.1
cosmic-panel 1:1.0.16-1.1
cosmic-player 1:1.0.16-1.1
cosmic-randr 1:1.0.16-1.1
cosmic-screenshot 1:1.0.16-1.1
cosmic-session 1:1.0.16-1.1
cosmic-settings 1:1.0.16-1.1
cosmic-settings-daemon 1:1.0.16-1.1
cosmic-store 1:1.0.16-1.1
cosmic-terminal 1:1.0.16-1.1
cosmic-text-editor 1:1.0.16-1.1
cosmic-wallpapers 2:1.0.16-1
cosmic-workspaces 2:1.0.16-1.1
cpupower 7.0.10-1
cryptsetup 2.8.6-1.1
device-mapper 2.03.41-1.1
diffutils 3.12-2
dmidecode 3.7-1.3
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.93-1.1
dolphin 26.04.2-1.1
dosfstools 4.2-5.1
dpkg 1.23.7-1.1
duf 0.9.1-1.1
dunst 1.13.2-1.1
e2fsprogs 1.47.4-1.1
efibootmgr 18-4.1
efitools 1.9.2-7.1
ethtool 1:7.0-1.1
exfatprogs 1.4.2-1.1
f2fs-tools 1.16.0-3.1
fastfetch 2.64.2-2.1
feh 3.12.2-1.1
ffmpegthumbnailer 2.3.0-1.2
fprintd 1.94.5-2.1
freetube-bin 0.24.1-1
fsarchiver 0.8.9-1.1
git 2.54.0-1.1
glances 4.5.5-1
gnome-disk-utility 46.1-2.4
gnome-keyring 1:50.0-1.2
gparted 1.8.1-2.1
gst-libav 1.28.4-1
gst-plugin-pipewire 1:1.6.6-1.1
gst-plugin-va 1.28.4-1
gst-plugins-bad 1.28.4-1
gst-plugins-ugly 1.28.4-1
gwenview 26.04.2-1.1
hdparm 9.65-3.1
hwdetect 2025.08.16.1333-1
hwinfo 25.4-1.1
inetutils 2.8-1.1
iwd 3.12-1.1
jfsutils 1.1.15-9.1
just 1.53.0-1.1
kate 26.04.2-1.1
kcalc 26.04.2-1.1
kdeconnect 26.04.2-1.1
kdeplasma-addons 6.6.5-1.1
konsole 26.04.2-1.1
kscreen 6.6.5-1.1
less 1:704-1.1
lib32-mesa 2:26.1.2-1
lib32-mesa-utils 9.0.0-4
lib32-opencl-mesa 2:26.1.2-1
lib32-vulkan-mesa-layers 2:26.1.2-1
lib32-vulkan-radeon 2:26.1.2-1
libdvdcss 1.5.0-1.1
libgnome-keyring 1:3.12.0+r14+g23438cc-1
libgsf 1.14.58-1.1
libopenraw 0.3.7-2.1
libsoup 2.74.3-4
limine 12.3.3-1
limine-mkinitcpio-hook 1.36.0-1
limine-snapper-sync 1.30.1-1
